id,EAP,HPL,MWS
id20462,1.8661684637537912e-05,3.25863406668007e-05,0.9999489797256508
id22158,1.6285954324154397e-05,4.7121756638100836e-06,0.9999790193851352
id23419,1.958594693137736e-05,1.0134243442419377e-06,0.9999794962124028
id05629,2.5583397664878014e-06,0.9999461188527642,5.1614598495475e-05
id19796,0.9999599464808746,2.9209204153503897e-05,1.0897437592323299e-05
id04632,0.0002738927236264368,3.1319274367005904e-05,0.9996948707801422
id27432,0.9999007035920189,4.543917356669941e-05,5.3917349819613664e-05
id11262,2.2457604654667304e-05,9.592909993228947e-06,0.9999680524207352
id00565,0.9999794962124028,1.1331693448590702e-05,9.31035803048492e-06
id02200,0.9998862808042865,9.435053155109011e-05,1.925476787051172e-05
id25008,0.9999747279499589,1.2582793949249212e-05,1.2745523716307508e-05
id05530,3.8831988215136324e-05,6.164699485305086e-05,0.9998996308155219
id05385,0.9999505293685484,3.585759213366105e-05,1.357816646216029e-05
id08179,0.9999718670034062,1.3828935217867867e-05,1.439283752703557e-05
id26045,0.9759292483012663,0.00038227658418690385,0.02368839069356366
id18015,0.9998724541948386,9.279479478946927e-05,3.4633306176003074e-05
id03155,0.9997741239101473,0.00018767315609821215,3.809645633048075e-05
id01871,0.9999125042094497,1.2451675130027614e-05,7.510288011912898e-05
id08569,0.9983972056488222,0.0005039719624147292,0.0010989340948266398
id09333,1.9053106272380716e-05,1.3210658660877749e-05,0.9999675755989245
id07722,0.03318612420771204,0.002139305538500673,0.9646745494490634
id06392,0.9998818705718856,0.00010833436686189885,9.750501919571321e-06
id22944,0.9984551692052478,0.001461048179647018,8.381664292386032e-05
id23789,0.9999669795719808,2.046583017256556e-05,1.2513852158410998e-05
id25397,0.9999452844330474,3.3701960092128976e-05,2.0987979918575693e-05
id27282,4.936919158280309e-06,0.9999461188527642,4.9092867488977506e-05
id12099,2.9323917260142733e-05,3.665958205290949e-05,0.9999341986371726
id04438,0.010187730075385504,0.0003986537255445914,0.9894134310155318
id19664,0.0018639425958597753,0.00016883522246471637,0.9979674043719008
id26224,6.0379499907612355e-05,7.874655947187358e-05,0.9998610116281627
id25363,0.9999532710503275,3.41854161429603e-05,1.254902366487712e-05
id09390,1.71835242692927e-05,7.107136590293626e-06,0.9999756816006287
id07282,1.527994718590267e-05,6.840357022577787e-06,0.9999780657312822
id08879,3.5141079515845624e-05,0.9997761500123717,0.00018882284524726124
id23996,2.725717347340055e-05,0.9998557671621996,0.00011705172904519475
id05104,3.332075817501673e-05,1.3830821273419454e-05,0.999952794235565
id23792,0.9999240665656454,4.7048721829414215e-05,2.884653215481024e-05
id21510,0.9999761584263047,1.160660269132541e-05,1.2228971255592658e-05
id19450,0.9999131002039235,7.709608701943023e-05,9.787114784908539e-06
id00219,0.9999692444762567,1.798734172139063e-05,1.276284430655658e-05
id02471,2.9968712534087107e-05,1.070700344483201e-05,0.999959469662929
id09695,0.9972789420762977,0.0021367792226196095,0.0005841896741026034
id14739,0.9999699597102517,1.0937470516788426e-05,1.9169825946054086e-05
id22528,1.5781327896538893e-06,0.9999852181573482,1.3467991306637878e-05
id24918,3.810403100635355e-06,0.9999704365331993,2.5651181007915422e-05
id15051,0.002065973568803164,5.08800201603438e-06,0.9979288598130469
id13836,0.1831489495203743,0.7901157149086971,0.026735353866870988
id11873,1.8731830203922814e-05,5.250887121466494e-05,0.9999289537873295
id27487,2.2940389543064635e-05,1.6480316788984335e-05,0.9999606617082192
id02103,0.00040460580947072124,8.737618180726243e-06,0.999586667629208
id20963,2.0213241867968607e-05,9.978654142922279e-06,0.9999699597102517
id06695,0.9999744895374335,1.3167741875058133e-05,1.2533702425345874e-05
id20483,2.9047364717391564e-05,1.616797163073735e-05,0.9999549399037865
id03470,0.9999768736652449,1.14423728156394e-05,1.1688401103119444e-05
id09196,1.3553042487970157e-05,0.9999537478653172,3.277505476555231e-05
id10392,2.1294617083609898e-05,4.201500733524988e-06,0.9999747279499589
id05056,0.9999768736652449,1.0145301456926811e-05,1.308557034972072e-05
id15707,7.563484215678256e-05,0.00011041008799675612,0.999814050798997
id16175,0.9999480261004458,3.775333287466891e-05,1.4250153139680896e-05
id23988,0.9999446884193903,4.257962958629519e-05,1.2720266211995838e-05
id02709,0.9999697212988632,1.5909782999168568e-05,1.4411255974587846e-05
id16163,0.999665316334019,0.00012391042251015566,0.00021085271521585703
id10057,0.9998101176316849,0.00017362177618205997,1.625256481847378e-05
id26184,0.9998157194201068,0.000134366822150639,4.991982999888856e-05
id10830,1.9018386335097806e-06,0.9999432579880627,5.492344164571604e-05
id17589,0.9999390859083782,5.3798290851358245e-05,7.188095268340593e-06
id23326,0.0002729641521813659,2.2410813961412087e-05,0.9997044046588283
id05831,0.9999706749447583,1.6022580720332577e-05,1.339159389069568e-05
id21475,7.16636004993899e-05,1.5240202578982577e-05,0.9999132194028609
id08791,2.1996053172007976e-05,9.913471363034162e-06,0.9999680524207352
id27450,0.9999600656853964,2.757174020537196e-05,1.2411306869016827e-05
id19831,0.002600581595729738,6.319756625127163e-05,0.99733612735949
id08042,0.9737089888698703,0.0008149204294289617,0.02547589097350183
id25259,0.9998658985416599,6.992144764274934e-05,6.412810721916448e-05
id04224,0.12576308291542992,0.8741678614912539,6.896541816685954e-05
id21043,6.1185659208840155e-06,1.6895891556604297e-06,0.9999923706345725
id03014,1.452292008918002e-06,0.999976635252208,2.176802688905401e-05
id19793,0.9978693803904892,0.00046868180611186913,0.001662085657641917
id00397,2.7922086054451364e-05,1.92246031171008e-05,0.999952794235565
id13868,0.9996019202276868,0.0002897403493846856,0.00010839285933504772
id08643,0.9999792577987406,9.52718456238928e-06,1.1192884264907468e-05
id14707,0.9665350530509808,0.0327882352699356,0.0006756198259483054
id00878,0.9999632842128594,2.134420626133788e-05,1.537664627743279e-05
id25188,2.1847410711250348e-05,1.5499641244709145e-05,0.9999628073933223
id16677,0.24951974946032154,0.7310769671212078,0.01940323760381897
id14005,0.9917853585077641,0.00042721402492395584,0.007787465164289233
id20363,1.2339997318667976e-05,5.426521348140946e-06,0.9999823571807829
id20421,1.2786613197514413e-05,8.277369285509465e-06,0.9999790193851352
id20624,2.5371951535704293e-05,1.0971925400444308e-05,0.9999637610326239
id15017,0.9790541257835488,0.020931314064330592,1.4544438816027767e-05
id02664,3.221892507001995e-05,0.9998202485485858,0.00014784453301102201
id15823,8.725618802268158e-06,1.2584323625527667e-06,0.9999899864698134
id03552,0.9999771120783387,1.0595572738177644e-05,1.2240032262975809e-05
id14064,1.9800318021946207e-06,0.9999537478653172,4.4237148261981925e-05
